Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2021-03-25 11:46:01	1		110.918	48	1513.98	
* 2	2021-03-25 11:47:26	2		29.0775	48	-11.4735	
* 3	2021-03-25 11:49:51	1		3.63153	47	-8.75086	
* 4	2021-03-25 11:51:17	2		-3.11156	47	-24.553	
* 5	2021-03-25 11:53:19	1		-5.05691	46	-35.1409	
* 6	2021-03-25 11:54:44	2		65.8407	46	249.818	
* 7	2021-03-25 11:59:08	1		0	45	0	
* 8	2021-03-25 12:00:33	2		1.5433	45	0.177337	
* 9	2021-03-25 12:03:18	1		0	42	0	
* 10	2021-03-25 12:04:44	2		1.84519	42	-0.11764	
* 11	2021-03-25 12:07:09	1		1.41227	43	0.0233986	
* 12	2021-03-25 12:08:35	2		1.23578	43	0.038468	
* 13	2021-03-25 12:11:22	1		4.1009	41	-0.184826	
* 14	2021-03-25 12:12:48	2		3.12733	41	-0.197427	
* 15	2021-03-25 12:16:19	1		1.74156	38	0.0160812	
* 16	2021-03-25 12:17:44	2		1.63152	38	-0.0323877	
* 17	2021-03-25 12:20:28	1		1.05727	40	-0.0594991	
* 18	2021-03-25 12:21:50	2		-0.194777	40	-0.00644759	
* 19	2021-03-25 12:24:37	1		2.31625	39	0.0319056	
* 20	2021-03-25 12:26:02	2		1.27414	39	-0.00363741	
* 21	2021-03-25 12:28:17	1		2.67208	37	-0.00159569	
* 22	2021-03-25 12:29:43	2		2.2131	37	-0.00842417	
* 23	2021-03-25 12:37:04	1		3.44744	33	0.355994	
* 24	2021-03-25 12:38:29	2		2.75835	33	0.0319523	
* 25	2021-03-25 12:40:54	1		3.96781	35	0.101871	
* 26	2021-03-25 12:42:19	2		2.77099	35	0.104338	
* 27	2021-03-25 12:44:27	1		4.90436	34	-0.0396315	
* 28	2021-03-25 12:45:52	2		2.55922	34	0.0476213	
* 29	2021-03-25 12:48:03	1		1.76991	36	0.0167949	
* 30	2021-03-25 12:49:28	2		0	36	0	
* 31	2021-03-25 13:43:48	1		2.45358	31	0.123793	
* 32	2021-03-25 13:45:13	2		2.13675	31	0.147378	
* 33	2021-03-25 13:47:14	1		1.95784	29	0.0524186	
* 34	2021-03-25 13:48:39	2		1.89911	29	0.0307078	
* 35	2021-03-25 13:51:01	1		1.53988	30	0.0208287	
* 36	2021-03-25 13:52:26	2		1.21571	30	0.0263674	
* 37	2021-03-25 13:55:09	1		2.65122	27	-0.0218355	
* 38	2021-03-25 13:56:34	2		1.44703	27	-0.00503866	
* 39	2021-03-25 13:58:29	1		4.82182	25	-0.18589	
* 40	2021-03-25 13:59:55	2		0	25	0	
* 41	2021-03-25 14:02:22	1		5.15314	28	-0.250787	
* 42	2021-03-25 14:03:48	2		6.3028	28	-0.327964	
* 43	2021-03-25 14:05:44	1		2.86883	26	0.0268562	
* 44	2021-03-25 14:07:10	2		2.50043	26	-0.00904004	
* 45	2021-03-25 14:09:27	1		1.99484	22	-0.0471989	
* 46	2021-03-25 14:10:53	2		2.44702	22	-0.0661032	
* 47	2021-03-25 14:12:53	1		4.93209	23	-0.218676	
* 48	2021-03-25 14:14:20	2		2.90116	23	-0.129519	
* 49	2021-03-25 14:16:21	1		6.71062	21	-0.619131	
* 50	2021-03-25 14:17:46	2		5.62023	21	-0.531502	
* 51	2021-03-25 14:20:05	1		5.15579	24	-0.211688	
* 52	2021-03-25 14:21:31	2		2.90052	24	-0.12519	
* 53	2021-03-25 14:23:44	1		3.94789	20	-0.185662	
* 54	2021-03-25 14:25:09	2		5.53904	20	-0.575962	
* 55	2021-03-25 14:27:17	1		1.26892	19	-0.00415112	
* 56	2021-03-25 14:28:43	2		1.7958	19	-0.0300059	
* 57	2021-03-25 14:31:42	1		0	18	0	
* 58	2021-03-25 14:33:07	2		3.68098	18	-0.408427	
* 59	2021-03-25 14:35:36	1		4.10575	17	-0.45026	
* 60	2021-03-25 14:37:02	2		4.14148	17	-0.441569	
* 61	2021-03-25 14:42:54	1		2.14413	16	-0.00950582	
* 62	2021-03-25 14:44:19	2		0	16	0	
* 63	2021-03-25 14:47:06	1		6.07912	15	-0.18042	
* 64	2021-03-25 14:48:31	2		3.84735	15	-0.265857	
* 65	2021-03-25 14:50:40	1		3.66825	14	-0.215106	
* 66	2021-03-25 14:52:06	2		0	14	0	
* 67	2021-03-25 14:54:54	1		2.22851	13	-0.433938	
* 68	2021-03-25 14:56:20	2		3.19411	13	-0.725815	
* 69	2021-03-25 14:59:16	1		1.27782	11	-0.0452815	
* 70	2021-03-25 15:00:41	2		1.57446	11	-0.142066	
* 71	2021-03-25 15:02:55	1		1.78016	12	-0.0959649	
* 72	2021-03-25 15:04:20	2		2.03287	12	-0.100084	
* 73	2021-03-25 15:06:22	1		1.68982	9	-0.125376	
