Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2020-11-13 13:04:12	1		2.37019	4	-0.0720036	
* 2	2020-11-13 13:05:37	2		2.18861	4	-0.0810808	
* 3	2020-11-13 13:07:58	1		4.44645	2	-0.0886432	
* 4	2020-11-13 13:09:23	2		5.34155	2	-0.0382843	
* 5	2020-11-13 13:12:01	1		2.32723	3	-0.144859	
* 6	2020-11-13 13:13:27	2		2.2975	3	-0.0848874	
* 7	2020-11-13 13:15:43	1		7.64786	1	-0.529948	
* 8	2020-11-13 13:17:09	2		4.51582	1	-0.841631	
* 9	2020-11-13 13:19:36	1		4.45057	5	-0.604317	
* 10	2020-11-13 13:21:02	2		6.10263	5	-0.634028	
* 11	2020-11-13 13:23:49	1		3.36865	6	-0.24743	
* 12	2020-11-13 13:25:15	2		2.89119	6	-0.205588	
* 13	2020-11-13 13:27:26	1		3.15064	7	-0.326607	
* 14	2020-11-13 13:28:53	2		2.70203	7	-0.323416	
* 15	2020-11-13 13:30:53	1		3.28767	8	-0.74991	
* 16	2020-11-13 13:32:19	2		3.13647	8	-0.731562	
* 17	2020-11-13 13:34:42	1		3.46547	11	-0.115178	
* 18	2020-11-13 13:36:09	2		2.15449	11	-0.105182	
* 19	2020-11-13 13:38:34	1		4.07993	12	-0.00399587	
* 20	2020-11-13 13:39:59	2		0	12	0	
* 21	2020-11-13 13:42:24	1		3.11463	9	-0.142024	
* 22	2020-11-13 13:43:50	2		0	9	0	
* 23	2020-11-13 13:45:50	1		3.46965	10	-0.0763236	
* 24	2020-11-13 13:47:16	2		1.60108	10	-0.0879103	
* 25	2020-11-13 13:52:19	1		6.54896	13	-0.729457	
* 26	2020-11-13 13:53:45	2		5.18075	13	-0.871845	
* 27	2020-11-13 13:56:22	1		5.2705	14	-0.372895	
* 28	2020-11-13 13:57:48	2		0	14	0	
* 29	2020-11-13 13:59:52	1		3.63035	15	-0.254528	
* 30	2020-11-13 14:01:18	2		0	15	0	
* 31	2020-11-13 14:03:53	1		2.62196	16	-0.140283	
* 32	2020-11-13 14:05:19	2		2.98723	16	-0.218	
* 33	2020-11-13 14:10:22	1		5.8602	17	-0.470765	
* 34	2020-11-13 14:11:49	2		3.95039	17	-0.372018	
* 35	2020-11-13 14:13:58	1		6.55639	18	-0.301531	
* 36	2020-11-13 14:15:24	2		4.96815	18	-0.227161	
* 37	2020-11-13 14:17:42	1		5.37549	20	-0.208278	
* 38	2020-11-13 14:19:07	2		5.58103	20	-0.197112	
* 39	2020-11-13 14:20:58	1		2.04069	19	-0.075572	
* 40	2020-11-13 14:22:24	2		1.46605	19	-0.0491288	
* 41	2020-11-13 14:24:40	1		2.69772	24	-0.831335	
* 42	2020-11-13 14:26:05	2		2.29004	24	-0.119667	
* 43	2020-11-13 14:28:04	1		2.74315	23	-0.0765391	
* 44	2020-11-13 14:29:30	2		2.29287	23	-0.10443	
* 45	2020-11-13 14:31:56	1		3.01384	22	0.976029	
* 46	2020-11-13 14:33:21	2		2.3531	22	-0.237898	
* 47	2020-11-13 14:35:35	1		8.41989	21	-0.440616	
* 48	2020-11-13 14:37:00	2		0	21	0	
* 49	2020-11-13 14:39:18	1		4.34841	28	-0.123864	
* 50	2020-11-13 14:40:44	2		2.20161	28	-0.0449752	
* 51	2020-11-13 14:43:10	1		5.43576	25	-0.227264	
* 52	2020-11-13 14:44:35	2		3.73326	25	-0.282772	
* 53	2020-11-13 14:46:40	1		3.71072	26	-0.0346683	
* 54	2020-11-13 14:48:06	2		2.00013	26	-0.0709181	
* 55	2020-11-13 14:50:32	1		2.42876	27	-0.0189963	
* 56	2020-11-13 14:51:58	2		1.85823	27	0.0278835	
* 57	2020-11-13 14:54:14	1		2.63253	30	2.24447	
* 58	2020-11-13 14:55:40	2		2.28732	30	-0.0180719	
* 59	2020-11-13 14:58:05	1		9.20165	29	-0.0502101	
* 60	2020-11-13 14:59:30	2		2.76008	29	-0.00953746	
* 61	2020-11-13 15:01:42	1		8.98395	31	-0.13194	
* 62	2020-11-13 15:03:07	2		2.36593	31	-0.023151	
* 63	2020-11-13 15:05:10	1		2.8058	32	-0.0878549	
* 64	2020-11-13 15:06:36	2		2.54477	32	-0.586838	
* 65	2020-11-13 15:08:58	1		1.8344	36	-0.0224714	
* 66	2020-11-13 15:10:23	2		1.44141	36	-0.143652	
* 67	2020-11-13 15:38:39	1		4.15244	34	0.0297622	
* 68	2020-11-13 15:40:05	2		4.33806	34	0.105207	
* 69	2020-11-13 15:41:43	1		2.14459	35	-0.0103396	
* 70	2020-11-13 15:43:09	2		0	35	0	
* 71	2020-11-13 15:44:47	1		2.72935	33	-0.0182868	
* 72	2020-11-13 15:46:14	2		2.04286	33	0.00848116	
* 73	2020-11-13 15:55:14	1		10.6331	37	-0.0385442	
* 74	2020-11-13 15:56:40	2		3.23992	37	-0.0543154	
* 75	2020-11-13 15:58:22	1		2.47963	39	-0.112909	
* 76	2020-11-13 15:59:48	2		1.22572	39	-0.324726	
* 77	2020-11-13 16:01:36	1		1.72076	38	0.0171883	
* 78	2020-11-13 16:03:02	2		1.83132	38	0.00716913	
* 79	2020-11-13 16:04:37	1		4.2315	40	-0.0140428	
* 80	2020-11-13 16:06:03	2		2.19479	40	-0.0706044	
* 81	2020-11-13 16:08:53	1		3.85521	43	-0.0736429	
* 82	2020-11-13 16:10:19	2		1.4605	43	-0.0487954	
* 83	2020-11-13 16:12:10	1		8.65616	44	-0.246489	
* 84	2020-11-13 16:13:36	2		2.66402	44	-0.129907	
* 85	2020-11-13 16:15:14	1		7.19586	42	-0.297817	
* 86	2020-11-13 16:16:39	2		2.91575	42	-0.229341	
* 87	2020-11-13 16:18:14	1		5.79604	41	-0.0825079	
* 88	2020-11-13 16:19:40	2		3.34764	41	-0.0895778	
* 89	2020-11-13 16:21:21	1		0	45	0	
* 90	2020-11-13 16:22:48	2		2.69692	45	-0.0952565	
* 91	2020-11-13 16:24:25	1		4.48832	46	-0.155239	
* 92	2020-11-13 16:25:51	2		2.48722	46	-0.112735	
* 93	2020-11-13 16:27:25	1		5.15491	47	-0.153316	
* 94	2020-11-13 16:28:51	2		2.63355	47	-0.111345	
* 95	2020-11-13 16:30:27	1		7.54455	48	-1.30208	
* 96	2020-11-13 16:31:52	2		0	48	0	
