Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2020-09-11 10:02:20	1		11.6182	2	-0.825149	
* 2	2020-09-11 10:03:46	2		10.1301	2	-0.247474	
* 3	2020-09-11 10:06:32	1		8.75956	3	0.0174824	
* 4	2020-09-11 10:07:58	2		17.1931	3	-0.034597	
* 5	2020-09-11 10:10:36	1		8.88845	1	-0.548459	
* 6	2020-09-11 10:12:01	2		9.03863	1	-0.0795325	
* 7	2020-09-11 10:14:17	1		18.1987	4	-0.614152	
* 8	2020-09-11 10:15:43	2		9.81764	4	-0.675866	
* 9	2020-09-11 10:19:37	1		4.29669	7	1.475	
* 10	2020-09-11 10:21:02	2		8.93202	7	0.610979	
* 11	2020-09-11 10:23:38	1		6.77047	6	-0.582455	
* 12	2020-09-11 10:25:04	2		11.8595	6	0.609131	
* 13	2020-09-11 10:27:36	1		14.1594	8	-0.019583	
* 14	2020-09-11 10:29:01	2		9.68468	8	-0.667422	
* 15	2020-09-11 10:31:31	1		14.7372	5	-0.802018	
* 16	2020-09-11 10:32:57	2		19.9354	5	-0.573691	
* 17	2020-09-11 10:38:07	1		2.18954	11	0.462064	
* 18	2020-09-11 10:39:33	2		-1.75312	11	0.250433	
* 19	2020-09-11 10:41:45	1		10.012	12	0.735293	
* 20	2020-09-11 10:43:11	2		4.03678	12	0.957283	
* 21	2020-09-11 10:45:19	1		14.8607	9	-0.441299	
* 22	2020-09-11 10:46:45	2		21.0333	9	0.188374	
* 23	2020-09-11 10:48:52	1		8.36195	10	0.175335	
* 24	2020-09-11 10:50:17	2		5.83528	10	37.8342	
* 25	2020-09-11 10:52:43	1		13.7617	13	-0.822195	
* 26	2020-09-11 10:54:09	2		16.0305	13	-3.47829	
* 27	2020-09-11 10:56:07	1		13.702	14	0.328017	
* 28	2020-09-11 10:57:32	2		21.3842	14	0.546682	
* 29	2020-09-11 10:59:31	1		5.46411	15	1.09052	
* 30	2020-09-11 11:00:56	2		6.07744	15	0.433685	
* 31	2020-09-11 11:02:57	1		5.21301	16	0.637789	
* 32	2020-09-11 11:04:23	2		10.2097	16	2.99115	
* 33	2020-09-11 11:08:32	1		9.18849	17	0.983721	
* 34	2020-09-11 11:09:57	2		9.43004	17	-0.504456	
* 35	2020-09-11 11:12:09	1		10.4156	18	0.339496	
* 36	2020-09-11 11:13:34	2		7.27125	18	0.503449	
* 37	2020-09-11 11:15:37	1		10.9265	20	0.0377624	
* 38	2020-09-11 11:17:02	2		12.9169	20	-0.0173807	
* 39	2020-09-11 11:18:57	1		4.31921	19	0.293833	
* 40	2020-09-11 11:20:23	2		5.20405	19	0.384721	
* 41	2020-09-11 11:22:52	1		7.79234	24	-0.0429799	
* 42	2020-09-11 11:24:17	2		1.56304	24	0.749937	
* 43	2020-09-11 11:26:19	1		11.9369	21	0.109339	
* 44	2020-09-11 11:27:45	2		8.16138	21	0.252123	
* 45	2020-09-11 11:29:48	1		2.9011	22	0.728945	
* 46	2020-09-11 11:31:14	2		8.20055	22	0.0803884	
* 47	2020-09-11 11:33:13	1		-0.399685	23	-0.827754	
* 48	2020-09-11 11:34:38	2		5.42425	23	0.259122	
* 49	2020-09-11 11:36:49	1		20.5055	25	4.26302	
* 50	2020-09-11 11:38:14	2		0	25	0	
* 51	2020-09-11 11:40:16	1		1.33815	28	0.410307	
* 52	2020-09-11 11:41:41	2		-2.0717	28	0.211309	
* 53	2020-09-11 11:43:53	1		-18.4593	26	-2.7119	
* 54	2020-09-11 11:45:19	2		4.56002	26	-0.0141541	
* 55	2020-09-11 11:47:32	1		-20.9035	27	2.46838	
* 56	2020-09-11 11:48:57	2		1.11908	27	1.04931	
* 57	2020-09-11 11:51:05	1		5.70666	30	1.06352	
* 58	2020-09-11 11:52:31	2		3.46499	30	0.0337477	
* 59	2020-09-11 11:54:16	1		9.83569	29	0.625299	
* 60	2020-09-11 11:55:41	2		7.55986	29	-0.302038	
* 61	2020-09-11 11:58:13	1		-1.51497	30R	-0.839834	
* 62	2020-09-11 11:59:38	2		-1.48675	30R	-22.7424	
* 63	2020-09-11 12:01:41	1		0.633824	31	0.105132	
* 64	2020-09-11 12:03:06	2		47.9537	31	4.44492	
