Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2021-02-26 08:39:11	1		1.66062	4	0.976354	
* 2	2021-02-26 08:40:37	2		1.79215	4	-0.884384	
* 3	2021-02-26 08:48:42	1		1.65801	2	-0.367282	
* 4	2021-02-26 08:50:08	2		2.90596	2	-0.655512	
* 5	2021-02-26 08:52:49	1		1.11226	3	-0.283865	
* 6	2021-02-26 08:54:15	2		1.31612	3	-0.320344	
* 7	2021-02-26 08:56:56	1		0.895548	1	-0.49752	
* 8	2021-02-26 08:58:22	2		1.11436	1	-0.582681	
* 9	2021-02-26 09:01:30	1		0.960645	7	-0.442305	
* 10	2021-02-26 09:02:56	2		0	7	0	
* 11	2021-02-26 09:05:08	1		1.3806	6	-0.34173	
* 12	2021-02-26 09:06:33	2		0	6	0	
* 13	2021-02-26 09:10:24	1		1.3237	8	-1.01144	
* 14	2021-02-26 09:11:49	2		1.62459	8	-1.24477	
* 15	2021-02-26 09:17:18	1		0	5	0	
* 16	2021-02-26 09:18:44	2		1.35543	5	-1.12747	
* 17	2021-02-26 09:22:45	1		3.03121	10	-0.328058	
* 18	2021-02-26 09:24:11	2		0	10	0	
* 19	2021-02-26 09:26:23	1		0.547557	12	-0.112219	
* 20	2021-02-26 09:27:49	2		0.814148	12	-0.154388	
* 21	2021-02-26 09:30:04	1		0.767073	9	-0.185012	
* 22	2021-02-26 09:31:30	2		1.41174	9	-0.333196	
* 23	2021-02-26 09:33:53	1		0.552025	11	-0.0785127	
* 24	2021-02-26 09:35:19	2		0	11	0	
* 25	2021-02-26 09:37:56	1		1.27041	13	-0.744983	
* 26	2021-02-26 09:39:22	2		1.73653	13	-0.99542	
* 27	2021-02-26 09:41:56	1		0.751719	14	-0.190922	
* 28	2021-02-26 09:43:22	2		1.37544	14	-0.26459	
* 29	2021-02-26 09:45:39	1		0.347475	15	-0.16505	
* 30	2021-02-26 09:47:05	2		0.336841	15	-0.170373	
* 31	2021-02-26 09:49:34	1		0.803778	16	-0.106703	
* 32	2021-02-26 09:51:01	2		0.885188	16	-0.121196	
* 33	2021-02-26 09:56:05	1		1.07207	17	-0.348584	
* 34	2021-02-26 09:57:30	2		1.35439	17	-0.416118	
* 35	2021-02-26 10:01:02	1		0.720499	18	-0.164458	
* 36	2021-02-26 10:02:28	2		1.36011	18	-0.250801	
* 37	2021-02-26 10:04:47	1		1.44749	20	-0.181614	
* 38	2021-02-26 10:06:12	2		1.44348	20	-0.202176	
* 39	2021-02-26 10:08:24	1		0.31009	19	-0.190163	
* 40	2021-02-26 10:09:49	2		0.414879	19	-0.292692	
* 41	2021-02-26 10:13:41	1		1.73414	21	-0.60202	
* 42	2021-02-26 10:15:07	2		2.31756	21	-0.824446	
* 43	2021-02-26 10:17:20	1		1.93831	24	-0.316642	
* 44	2021-02-26 10:18:46	2		1.88595	24	-0.308652	
* 45	2021-02-26 10:20:57	1		1.61826	23	-0.343917	
* 46	2021-02-26 10:22:23	2		2.01432	23	-0.431672	
* 47	2021-02-26 10:24:32	1		0.765379	22	-0.0914219	
* 48	2021-02-26 10:25:58	2		1.23616	22	-0.134861	
* 49	2021-02-26 10:28:23	1		10.7752	28	-1.19043	
* 50	2021-02-26 10:29:49	2		12.4471	28	-1.35935	
* 51	2021-02-26 10:31:49	1		0	26	0	
