Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2021-01-29 08:57:26	1		1.08988	48	-0.466894	
* 2	2021-01-29 08:58:51	2		1.5072	48	-0.588604	
* 3	2021-01-29 09:01:02	1		0.186023	47	-0.0755276	
* 4	2021-01-29 09:02:28	2		0.321542	47	-0.149737	
* 5	2021-01-29 09:04:30	1		0.817566	46	-0.413574	
* 6	2021-01-29 09:05:56	2		1.4546	46	-0.669708	
* 7	2021-01-29 09:07:49	1		0.870683	45	-0.111088	
* 8	2021-01-29 09:09:15	2		0.958146	45	-0.16567	
* 9	2021-01-29 09:11:48	1		0	42	0	
* 10	2021-01-29 09:13:14	2		1.2417	42	-3.789	
* 11	2021-01-29 09:15:37	1		1.0493	41	-0.201011	
* 12	2021-01-29 09:17:03	2		0.80766	41	-0.234547	
* 13	2021-01-29 09:20:17	1		0.653535	43	-0.214808	
* 14	2021-01-29 09:21:42	2		0.800345	43	-0.199144	
* 15	2021-01-29 09:24:10	1		0.0237303	40	-0.210705	
* 16	2021-01-29 09:25:36	2		0.676735	40	-0.166861	
* 17	2021-01-29 09:28:37	1		0.504695	38	-0.147162	
* 18	2021-01-29 09:30:04	2		0	38	0	
* 19	2021-01-29 09:32:39	1		1.2925	37	-0.256377	
* 20	2021-01-29 09:34:05	2		1.66883	37	-0.296482	
* 21	2021-01-29 09:36:07	1		1.09196	39	-0.24045	
* 22	2021-01-29 09:37:33	2		1.65497	39	-0.304628	
* 23	2021-01-29 09:40:07	1		0.714064	33	-0.15228	
* 24	2021-01-29 09:41:33	2		1.20651	33	-0.203599	
* 25	2021-01-29 09:44:05	1		5.79729	34	-0.610839	
* 26	2021-01-29 09:45:31	2		0	34	0	
* 27	2021-01-29 09:47:32	1		1.7468	35	-0.184695	
* 28	2021-01-29 09:48:58	2		2.0909	35	-0.663912	
* 29	2021-01-29 09:51:08	1		1.5803	36	-0.337742	
* 30	2021-01-29 09:52:34	2		1.38186	36	-0.339656	
* 31	2021-01-29 09:55:57	1		0.602276	32	-0.141196	
* 32	2021-01-29 09:57:23	2		1.23727	32	-0.265585	
* 33	2021-01-29 10:30:47	1		0.559299	29	-0.102554	
* 34	2021-01-29 10:32:12	2		1.11237	29	-0.163203	
* 35	2021-01-29 10:35:12	1		2.12721	31	-0.360308	
* 36	2021-01-29 10:36:39	2		1.82669	31	-0.300158	
* 37	2021-01-29 10:40:02	1		0.519248	30	-0.116519	
* 38	2021-01-29 10:41:29	2		0.686476	30	-0.261282	
* 39	2021-01-29 10:43:53	1		2.72021	27	-0.231007	
* 40	2021-01-29 10:45:19	2		3.51797	27	-0.360022	
* 41	2021-01-29 10:47:51	1		0.749183	25	-0.191402	
* 42	2021-01-29 10:49:17	2		0.872547	25	-0.310366	
* 43	2021-01-29 10:51:32	1		11.8375	28	-1.71855	
* 44	2021-01-29 10:52:58	2		25.9872	28	-3.47599	
* 45	2021-01-29 10:55:09	1		0.499753	26	-0.15109	
* 46	2021-01-29 10:56:35	2		2.86193	26	-0.423099	
* 47	2021-01-29 11:00:26	1		0.241778	22	-0.0737949	
* 48	2021-01-29 11:01:52	2		0.544744	22	-0.105061	
* 49	2021-01-29 11:03:51	1		0	23	0	
* 50	2021-01-29 11:05:17	2		0	23	0	
* 51	2021-01-29 11:08:01	1		0	21	0	
* 52	2021-01-29 11:09:28	2		0	21	0	
* 53	2021-01-29 12:26:06	1		122.898	24	648.41	
* 54	2021-01-29 12:27:32	2		0	24	-3.30081	
* 55	2021-01-29 12:30:24	1		1.64978	20	-0.599792	
* 56	2021-01-29 12:31:50	2		2.03254	20	-0.412698	
* 57	2021-01-29 12:33:43	1		0.546963	19	-0.164333	
* 58	2021-01-29 12:35:09	2		0.847109	19	-0.206616	
* 59	2021-01-29 12:37:25	1		1.13263	18	-0.462317	
* 60	2021-01-29 12:38:51	2		2.37799	18	-0.859132	
* 61	2021-01-29 12:41:05	1		0.840052	17	-0.539104	
* 62	2021-01-29 12:42:32	2		0.804374	17	-0.615836	
* 63	2021-01-29 12:46:45	1		0.430905	16	-0.0457879	
* 64	2021-01-29 12:48:11	2		0.643365	16	-0.117699	
* 65	2021-01-29 12:50:21	1		0.606057	15	-0.311179	
* 66	2021-01-29 12:51:48	2		0.507874	15	-0.276511	
* 67	2021-01-29 12:54:05	1		0.496319	14	-0.236679	
* 68	2021-01-29 12:55:31	2		1.03233	14	-0.319279	
* 69	2021-01-29 12:57:48	1		0.709794	13	-9.24871	
* 70	2021-01-29 12:59:14	2		0.726192	13	-0.500742	
* 71	2021-01-29 13:02:28	1		1.47051	10	-0.194887	
* 72	2021-01-29 13:03:53	2		1.74728	10	-0.219613	
* 73	2021-01-29 13:05:53	1		0.857367	12	-0.191731	
* 74	2021-01-29 13:07:19	2		1.13624	12	-0.26258	
* 75	2021-01-29 13:09:25	1		0.820676	9	-0.261268	
* 76	2021-01-29 13:10:50	2		1.95928	9	-0.499589	
* 77	2021-01-29 13:13:07	1		0.340757	11	-0.147879	
* 78	2021-01-29 13:14:32	2		0.5299	11	-0.175517	
* 79	2021-01-29 13:19:44	1		0	5	0	
* 80	2021-01-29 13:21:10	2		4.55295	5	-2.21952	
* 81		2			8		
