Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2020-08-25 08:15:54	1		3.88393	48	-0.120431	
* 2	2020-08-25 08:17:20	2		4.01909	48	-0.199427	
* 3	2020-08-25 08:18:14	1		2.79649	47	-0.0794432	
* 4	2020-08-25 08:19:39	2		2.46891	47	-0.108624	
* 5	2020-08-25 08:21:23	1		2.20611	46	-0.196481	
* 6	2020-08-25 08:22:49	2		2.28837	46	-0.11362	
* 7	2020-08-25 08:24:35	1		6.20894	45	-0.216838	
* 8	2020-08-25 08:26:01	2		7.54544	45	-0.193568	
* 9	2020-08-25 08:28:07	1		9.64392	42	-0.940143	
* 10	2020-08-25 08:29:32	2		8.31674	42	-0.904055	
* 11	2020-08-25 08:31:07	1		4.77882	44	-0.339475	
* 12	2020-08-25 08:32:34	2		4.70977	44	-0.332237	
* 13	2020-08-25 08:34:09	1		5.83568	43	-0.424698	
* 14	2020-08-25 08:35:34	2		5.20797	43	-0.420704	
* 15	2020-08-25 08:37:23	1		10.1915	41	-1.04532	
* 16	2020-08-25 08:38:48	2		7.6065	41	-0.981835	
* 17	2020-08-25 08:40:33	1		3.56243	40	-0.247731	
* 18	2020-08-25 08:41:59	2		3.92757	40	-0.228346	
* 19	2020-08-25 08:47:21	1		5.05868	38	-3.79609	
* 20	2020-08-25 08:48:47	2		4.84741	38	-0.21576	
* 21	2020-08-25 08:50:31	1		5.54677	39	-0.244111	
* 22	2020-08-25 08:51:56	2		5.7299	39	-0.278466	
* 23	2020-08-25 08:54:00	1		8.39253	37	-0.696634	
* 24	2020-08-25 08:55:26	2		8.24271	37	-0.705173	
* 25	2020-08-25 08:57:22	1		6.72908	33	-0.401402	
* 26	2020-08-25 08:58:47	2		6.50516	33	-0.273588	
* 27	2020-08-25 09:00:20	1		3.26377	35	0.25858	
* 28	2020-08-25 09:01:45	2		3.77351	35	0.129199	
* 29	2020-08-25 09:03:19	1		6.74273	34	-0.212281	
* 30	2020-08-25 09:04:44	2		6.53545	34	-0.250281	
* 31	2020-08-25 09:06:17	1		4.14373	36	-0.203669	
* 32	2020-08-25 09:07:43	2		4.14403	36	-0.220938	
* 33	2020-08-25 09:09:37	1		3.9326	31	-0.213664	
* 34	2020-08-25 09:11:02	2		3.91996	31	-0.213146	
* 35	2020-08-25 09:12:46	1		2.60429	32	-0.0781866	
* 36	2020-08-25 09:14:12	2		2.37466	32	-0.149339	
* 37	2020-08-25 09:15:48	1		10.6657	29	-0.278381	
* 38	2020-08-25 09:17:13	2		0	29	0	
* 39	2020-08-25 09:18:47	1		0	30	0	
* 40	2020-08-25 09:20:12	2		5.60792	30	-0.088935	
* 41	2020-08-25 09:22:04	1		3.72396	27	0.0785647	
* 42	2020-08-25 09:23:31	2		3.38214	27	0.12371	
* 43	2020-08-25 09:25:18	1		3.92024	26	0.0433195	
* 44	2020-08-25 09:26:44	2		3.73098	26	-0.0866355	
* 45	2020-08-25 09:34:59	1		4.79033	28	29.3802	
* 46	2020-08-25 09:36:24	2		5.01026	28	-0.18951	
* 47	2020-08-25 09:41:01	1		0	25	0	
* 48	2020-08-25 09:42:27	2		8.08228	25	-0.889157	
* 49	2020-08-25 09:45:47	1		4.92095	23	-0.380284	
* 50	2020-08-25 09:47:13	2		4.92157	23	-0.181139	
* 51	2020-08-25 09:49:17	1		11.1319	22	-0.264075	
* 52	2020-08-25 09:50:43	2		7.67103	22	-0.265328	
* 53	2020-08-25 09:53:17	1		4.56095	24	-0.243564	
* 54	2020-08-25 09:54:43	2		3.84208	24	-0.217274	
* 55	2020-08-25 09:57:09	1		9.50276	21	-1.39746	
* 56	2020-08-25 09:58:35	2		9.1212	21	-1.35691	
* 57	2020-08-25 10:01:29	1		4.14659	19	-0.126098	
* 58	2020-08-25 10:02:55	2		3.85575	19	-0.324741	
* 59	2020-08-25 10:04:37	1		7.57992	20	-0.458561	
* 60	2020-08-25 10:06:03	2		7.39531	20	-0.522019	
* 61	2020-08-25 10:07:45	1		5.26618	18	-0.358601	
* 62	2020-08-25 10:09:11	2		6.19363	18	-0.368117	
* 63	2020-08-25 10:10:51	1		12.4905	17	-1.26305	
* 64	2020-08-25 10:12:17	2		10.9313	17	-1.23442	
* 65	2020-08-25 10:20:13	1		6.34219	16	-0.004042	
* 66	2020-08-25 10:21:39	2		5.39562	16	0.0446522	
* 67	2020-08-25 10:23:19	1		14.0013	14	-0.53145	
* 68	2020-08-25 10:24:44	2		9.11671	14	-0.459596	
* 69	2020-08-25 10:26:22	1		25.2776	13	-2.1631	
* 70	2020-08-25 10:27:47	2		19.9455	13	-3.35743	
* 71	2020-08-25 10:30:05	1		0	10	0	
* 72	2020-08-25 10:31:31	2		6.24389	10	-0.284865	
* 73	2020-08-25 10:33:05	1		5.40412	12	-0.10713	
* 74	2020-08-25 10:34:30	2		5.2936	12	-0.0997491	
* 75	2020-08-25 10:36:15	1		15.0762	9	-0.938554	
* 76	2020-08-25 10:37:41	2		10.7447	9	-0.857661	
* 77	2020-08-25 10:39:19	1		2.75736	11	-0.246199	
* 78	2020-08-25 10:40:45	2		2.92665	11	-0.182711	
* 79	2020-08-25 10:42:32	1		10.0816	5	-1.79494	
* 80	2020-08-25 10:43:57	2		8.8404	5	-1.6507	
* 81	2020-08-25 10:45:42	1		9.18178	8	-1.65761	
* 82	2020-08-25 10:47:08	2		8.96138	8	-1.57304	
* 83	2020-08-25 10:48:52	1		6.642	7	-0.547638	
* 84	2020-08-25 10:50:17	2		6.84315	7	-0.551237	
* 85	2020-08-25 10:51:52	1		11.0069	6	-0.944745	
* 86	2020-08-25 10:53:17	2		0	6	0	
* 87	2020-08-25 10:55:06	1		10.2376	1	-1.49924	
* 88	2020-08-25 10:56:33	2		9.79595	1	-1.43838	
* 89	2020-08-25 10:58:12	1		6.98929	3	-0.461368	
* 90	2020-08-25 10:59:37	2		6.26823	3	-0.450336	
* 91	2020-08-25 11:01:17	1		11.0527	2	-0.980859	
* 92	2020-08-25 11:02:42	2		8.72733	2	-0.887052	
* 93	2020-08-25 11:04:17	1		7.12701	4	-0.704564	
* 94	2020-08-25 11:05:43	2		8.23241	4	-0.738272	
