Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2021-04-20 08:42:54	1		-3.58384	47	-10.8176	
* 2	2021-04-20 08:44:20	2		3.762	47	-0.49842	
* 3	2021-04-20 08:47:09	1		2.37161	48	-0.0197964	
* 4	2021-04-20 08:48:34	2		1.8295	48	-0.167249	
* 5	2021-04-20 08:50:36	1		5.47184	46	-0.582888	
* 6	2021-04-20 08:52:01	2		7.45549	46	-0.775049	
* 7	2021-04-20 08:54:18	1		6.6779	45	-0.228515	
* 8	2021-04-20 08:55:43	2		3.50106	45	-0.218982	
* 9	2021-04-20 08:59:49	1		5.40323	42	-0.581436	
* 10	2021-04-20 09:01:15	2		5.95647	42	-0.614483	
* 11	2021-04-20 09:03:12	1		3.15341	44	-0.228071	
* 12	2021-04-20 09:04:38	2		2.60924	44	-0.221411	
* 13	2021-04-20 09:07:00	1		3.18416	41	-0.32298	
* 14	2021-04-20 09:08:26	2		4.00734	41	-0.515532	
* 15	2021-04-20 09:11:25	1		5.61915	43	-0.561501	
* 16	2021-04-20 09:12:50	2		5.71432	43	-0.528322	
* 17	2021-04-20 09:15:31	1		3.92481	38	-0.291656	
* 18	2021-04-20 09:16:56	2		0	38	0	
* 19	2021-04-20 09:21:21	1		5.14139	40	-0.387579	
* 20	2021-04-20 09:22:47	2		4.78831	40	-0.358419	
* 21	2021-04-20 09:27:49	1		0	39	0	
* 22	2021-04-20 09:29:14	2		14.6693	39	-1.21878	
* 23	2021-04-20 09:31:17	1		6.53681	37	-1.88947	
* 24	2021-04-20 09:32:42	2		7.09483	37	-0.449533	
* 25	2021-04-20 09:35:48	1		7.28268	33	-0.507132	
* 26	2021-04-20 09:37:13	2		10.6077	33	-0.659332	
* 27	2021-04-20 09:41:09	1		4.36178	35	-0.209351	
* 28	2021-04-20 09:42:34	2		5.15878	35	-0.256428	
* 29	2021-04-20 09:44:34	1		16.2213	34	-0.717077	
* 30	2021-04-20 09:46:00	2		0	34	0	
* 31	2021-04-20 09:48:19	1		5.3299	36	-0.509577	
* 32	2021-04-20 09:49:44	2		5.78855	36	-0.476933	
* 33	2021-04-20 09:53:36	1		0	32	0	
* 34	2021-04-20 09:55:01	2		4.72512	32	-0.439641	
* 35	2021-04-20 09:57:31	1		13.7694	31	-1.00675	
* 36	2021-04-20 09:58:55	2		3.33694	31	-0.245869	
* 37	2021-04-20 10:01:35	1		4.6784	30	-0.72924	
* 38	2021-04-20 10:03:01	2		6.34674	30	-0.355404	
* 39	2021-04-20 10:05:19	1		10.6524	29	-0.458668	
* 40	2021-04-20 10:06:45	2		11.435	29	-0.51283	
* 41	2021-04-20 10:09:31	1		7.67964	27	-0.278819	
* 42	2021-04-20 10:10:56	2		14.4758	27	-0.621674	
* 43	2021-04-20 10:13:24	1		0	25	0	
* 44	2021-04-20 10:14:49	2		5.75942	25	-0.492245	
* 45	2021-04-20 10:17:26	1		0	28	0	
* 46	2021-04-20 10:18:51	2		29.9915	28	-1.56542	
* 47	2021-04-20 10:23:54	1		16.7197	26	-1.0366	
* 48	2021-04-20 10:25:19	2		18.5093	26	-0.91025	
* 49	2021-04-20 10:27:58	1		5.31988	22	-0.299556	
* 50	2021-04-20 10:29:24	2		6.19882	22	-0.772096	
* 51	2021-04-20 10:31:29	1		6.73905	23	-0.759827	
* 52	2021-04-20 10:32:54	2		8.26452	23	-0.854671	
* 53	2021-04-20 10:35:19	1		4.66839	24	-0.412493	
* 54	2021-04-20 10:36:45	2		4.85409	24	-0.401869	
* 55	2021-04-20 10:41:28	1		13.5935	21	-2.26778	
* 56	2021-04-20 10:42:54	2		6.56439	21	-0.995231	
* 57	2021-04-20 10:45:24	1		15.3316	20	-0.980264	
* 58	2021-04-20 10:46:49	2		23.2963	20	-1.32032	
* 59	2021-04-20 10:49:10	1		2.85076	19	-0.584775	
* 60	2021-04-20 10:50:36	2		4.00114	19	-0.514732	
* 61	2021-04-20 10:53:25	1		0	18	0	
* 62	2021-04-20 10:54:50	2		11.1957	18	-1.39936	
* 63	2021-04-20 10:57:14	1		6.94065	17	-0.874841	
* 64	2021-04-20 10:58:39	2		7.23798	17	-0.893873	
* 65	2021-04-20 11:03:16	1		3.03182	16	-0.166014	
* 66	2021-04-20 11:04:40	2		2.1436	16	-0.162565	
* 67	2021-04-20 11:20:56	1		5.72657	15	-0.639907	
* 68	2021-04-20 11:22:21	2		11.5817	15	-1.14197	
* 69	2021-04-20 11:26:00	1		2.73823	14	-0.233938	
* 70	2021-04-20 11:27:25	2		4.16897	14	-0.398515	
* 71	2021-04-20 11:29:43	1		5.49419	13	-1.07112	
* 72	2021-04-20 11:31:08	2		5.90507	13	-1.21215	
* 73	2021-04-20 11:34:17	1		6.45265	10	-0.36343	
* 74	2021-04-20 11:35:42	2		7.19953	10	-0.37087	
* 75	2021-04-20 11:37:49	1		6.04517	9	-0.500036	
* 76	2021-04-20 11:39:14	2		8.33449	9	-0.813464	
* 77	2021-04-20 11:45:31	1		2.48998	12	-0.190989	
* 78	2021-04-20 11:46:56	2		3.74401	12	-0.234658	
* 79	2021-04-20 11:50:48	1		0	11	0	
* 80	2021-04-20 11:52:13	2		2.97118	11	-0.301878	
* 81	2021-04-20 11:54:52	1		4.76413	5	-1.19266	
* 82	2021-04-20 11:56:17	2		17.0351	5	-3.07709	
* 83	2021-04-20 12:00:00	1		4.90633	8	-1.58787	
* 84	2021-04-20 12:01:25	2		6.05153	8	-1.85675	
* 85	2021-04-20 12:03:34	1		8.3052	6	-0.827973	
* 86	2021-04-20 12:04:59	2		10.1276	6	-0.80969	
* 87	2021-04-20 12:06:47	1		2.24059	7	-0.695401	
* 88	2021-04-20 12:08:11	2		4.18419	7	-1.07679	
* 89	2021-04-20 12:12:11	1		4.69312	4	-1.0684	
* 90	2021-04-20 12:13:36	2		5.58945	4	-1.27059	
* 91	2021-04-20 12:15:53	1		7.662	2	-0.92353	
* 92	2021-04-20 12:17:19	2		12.3509	2	-1.50649	
* 93	2021-04-20 12:19:05	1		3.29452	3	-0.490662	
* 94	2021-04-20 12:20:30	2		4.28465	3	-0.608192	
* 95	2021-04-20 12:22:52	1		6.27672	1	-1.63225	
* 96	2021-04-20 12:24:17	2		6.94344	1	-1.62706	
