Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2021-05-10 10:15:12	1		3.44554	4	3.36277	
* 2	2021-05-10 10:16:37	2		9.90069	4	28.6996	
* 3	2021-05-10 10:19:10	1		13.3821	2	-1.4038	
* 4	2021-05-10 10:20:35	2		0	2	0	
* 5	2021-05-10 10:23:08	1		5.5554	3	-0.585085	
* 6	2021-05-10 10:24:33	2		7.04567	3	-0.756504	
* 7	2021-05-10 10:26:52	1		0	1	0	
* 8	2021-05-10 10:28:17	2		10.33	1	-2.11116	
* 9	2021-05-10 10:31:07	1		4.62991	5	-0.877734	
* 10	2021-05-10 10:32:32	2		17.418	5	-2.96304	
* 11	2021-05-10 10:34:49	1		11.0192	6	-0.872533	
* 12	2021-05-10 10:36:14	2		15.9742	6	-1.07392	
* 13	2021-05-10 10:38:14	1		3.6258	7	-0.630244	
* 14	2021-05-10 10:39:39	2		6.36221	7	-1.15195	
* 15	2021-05-10 10:41:39	1		4.63788	8	-1.35468	
* 16	2021-05-10 10:43:04	2		7.09343	8	-2.01935	
* 17	2021-05-10 10:45:26	1		1.55037	11	-0.329696	
* 18	2021-05-10 10:46:52	2		1.3277	11	-0.0782719	
* 19	2021-05-10 10:49:32	1		7.13895	9	-0.48002	
* 20	2021-05-10 10:50:58	2		9.17026	9	-0.637762	
* 21	2021-05-10 10:52:53	1		4.04472	12	-0.213424	
* 22	2021-05-10 10:54:19	2		4.74255	12	-0.234873	
* 23	2021-05-10 10:57:31	1		4.70629	10	-0.211663	
* 24	2021-05-10 10:58:56	2		6.41188	10	-0.265134	
* 25	2021-05-10 11:02:27	1		16.6744	13	-1.58898	
* 26	2021-05-10 11:03:52	2		10.7325	13	-1.39014	
* 27	2021-05-10 11:06:20	1		9.02274	14	-0.248005	
* 28	2021-05-10 11:07:45	2		10.6474	14	-0.826509	
* 29	2021-05-10 11:09:53	1		12.3088	15	-0.953	
* 30	2021-05-10 11:11:18	2		0	15	0	
* 31	2021-05-10 11:14:33	1		2.37563	16	-0.0974151	
* 32	2021-05-10 11:15:59	2		3.46354	16	-0.14536	
* 33	2021-05-10 11:21:41	1		7.86856	17	-0.66184	
* 34	2021-05-10 11:23:06	2		7.86157	17	-0.721461	
* 35	2021-05-10 11:25:18	1		11.7885	20	-0.561515	
* 36	2021-05-10 11:26:43	2		12.6187	20	-0.589428	
* 37	2021-05-10 11:29:05	1		4.59431	19	-0.426411	
* 38	2021-05-10 11:30:31	2		5.96492	19	-0.541892	
* 39	2021-05-10 11:33:07	1		6.45627	18	-0.709823	
* 40	2021-05-10 11:34:32	2		9.61843	18	-1.035	
* 41	2021-05-10 11:36:57	1		8.36418	21	-1.10209	
* 42	2021-05-10 11:38:22	2		7.32995	21	-0.852646	
* 43	2021-05-10 11:40:31	1		5.30829	24	-0.412357	
* 44	2021-05-10 11:41:57	2		5.95314	24	-0.411897	
* 45	2021-05-10 11:44:06	1		0	23	0	
* 46	2021-05-10 11:45:31	2		11.7452	23	-0.762825	
* 47	2021-05-10 11:48:14	1		8.20712	22	-0.389293	
* 48	2021-05-10 11:49:40	2		9.52633	22	-0.429499	
* 49	2021-05-10 11:51:49	1		26.5365	28	-1.20434	
* 50	2021-05-10 11:53:15	2		31.9408	28	-1.42585	
* 51	2021-05-10 11:56:02	1		13.133	26	-0.52077	
* 52	2021-05-10 11:57:27	2		14.6031	26	-0.617288	
* 53	2021-05-10 11:59:45	1		5.26761	25	-0.317465	
* 54	2021-05-10 12:01:10	2		7.52607	25	-0.516263	
* 55	2021-05-10 12:03:37	1		5.37707	27	-0.125359	
* 56	2021-05-10 12:05:02	2		12.7257	27	-0.32211	
* 57	2021-05-10 12:06:52	1		3.50131	30	-0.118558	
* 58	2021-05-10 12:08:17	2		0	30	0	
* 59	2021-05-10 12:10:37	1		11.7661	29	-0.449992	
* 60	2021-05-10 12:12:03	2		14.0758	29	-0.56944	
* 61	2021-05-10 12:14:03	1		4.34698	31	-0.300878	
* 62	2021-05-10 12:15:28	2		3.84415	31	-0.139244	
* 63	2021-05-10 12:24:29	1		0	32	0	
* 64	2021-05-10 12:25:54	2		11.1377	32	-0.528025	
* 65	2021-05-10 12:28:26	1		7.57529	36	-0.395201	
* 66	2021-05-10 12:29:52	2		6.26061	36	-0.341404	
* 67	2021-05-10 12:32:07	1		18.6686	34	-0.6441	
* 68	2021-05-10 12:33:32	2		20.4305	34	-0.694443	
* 69	2021-05-10 12:35:20	1		5.35623	35	-0.105976	
* 70	2021-05-10 12:36:46	2		5.48686	35	-0.249689	
* 71	2021-05-10 12:39:10	1		7.33912	33	-0.272499	
* 72	2021-05-10 12:40:36	2		10.7611	33	-0.445357	
* 73	2021-05-10 12:42:59	1		11.1164	37	-0.55855	
* 74	2021-05-10 12:44:25	2		10.1928	37	-0.505579	
* 75	2021-05-10 12:46:29	1		28.0751	39	-1.72888	
* 76	2021-05-10 12:47:54	2		34.1216	39	-2.03898	
* 77	2021-05-10 12:50:07	1		6.8546	40	-0.359369	
* 78	2021-05-10 12:51:32	2		5.6	40	-0.356631	
* 79	2021-05-10 12:53:27	1		9.48372	38	-0.483806	
* 80	2021-05-10 12:54:52	2		7.60339	38	-0.415641	
