Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2021-04-06 08:46:04	1		4.64955	4	-1.57662	
* 2	2021-04-06 08:47:20	2		4.03094	4	-1.0962	
* 3	2021-04-06 08:50:19	1		4.60284	2	-0.647714	
* 4	2021-04-06 08:51:36	2		7.29635	2	-1.0824	
* 5	2021-04-06 08:53:47	1		2.45486	3	-2.29759	
* 6	2021-04-06 08:55:03	2		0	3	0	
* 7	2021-04-06 08:57:13	1		2.78343	1	-0.950333	
* 8	2021-04-06 08:58:29	2		0	1	0	
* 9	2021-04-06 09:01:07	1		3.38572	6	-0.428458	
* 10	2021-04-06 09:02:23	2		5.64328	6	-0.628917	
* 11	2021-04-06 09:04:40	1		2.6832	7	-0.589169	
* 12	2021-04-06 09:05:57	2		2.9938	7	-0.882823	
* 13	2021-04-06 09:08:22	1		2.70487	8	-1.23476	
* 14	2021-04-06 09:09:38	2		2.8773	8	-1.38854	
* 15	2021-04-06 09:11:46	1		5.1297	5	-1.26544	
* 16	2021-04-06 09:13:11	2		11.3954	5	-2.25105	
* 17	2021-04-06 09:16:14	1		1.172	11	-0.12376	
* 18	2021-04-06 09:17:39	2		1.65002	11	-0.208339	
* 19	2021-04-06 09:20:17	1		2.86063	9	-0.330597	
* 20	2021-04-06 09:21:42	2		3.40036	9	-0.39232	
* 21	2021-04-06 09:23:58	1		2.39651	12	-0.286662	
* 22	2021-04-06 09:25:23	2		2.36796	12	-0.27362	
* 23	2021-04-06 09:27:42	1		2.29469	10	-0.161699	
* 24	2021-04-06 09:29:08	2		2.52224	10	-2.00174	
* 25	2021-04-06 09:38:45	1		2.84332	13	-0.756402	
* 26	2021-04-06 09:40:11	2		4.79586	13	-1.25861	
* 27	2021-04-06 09:42:26	1		1.6192	14	-0.15916	
* 28	2021-04-06 09:43:51	2		1.89623	14	-0.210041	
* 29	2021-04-06 09:45:52	1		1.28892	15	-0.301399	
* 30	2021-04-06 09:47:18	2		3.23074	15	-0.61829	
* 31	2021-04-06 09:49:25	1		1.82572	16	-0.126469	
* 32	2021-04-06 09:50:50	2		2.56766	16	-0.193049	
* 33	2021-04-06 09:55:21	1		5.37734	17	-0.755797	
* 34	2021-04-06 09:56:47	2		4.70598	17	-0.695116	
* 35	2021-04-06 09:59:02	1		13.1771	18	-1.5835	
* 36	2021-04-06 10:00:27	2		0	18	0	
* 37	2021-04-06 10:03:20	1		5.03503	20	-0.466663	
* 38	2021-04-06 10:04:46	2		7.93982	20	-0.678031	
* 39	2021-04-06 10:07:26	1		1.7299	19	-0.242456	
* 40	2021-04-06 10:08:52	2		2.29399	19	-0.374251	
* 41	2021-04-06 10:11:41	1		7.24502	21	-1.32758	
* 42	2021-04-06 10:13:06	2		7.31739	21	-1.32497	
* 43	2021-04-06 10:15:40	1		3.15478	24	-0.322086	
* 44	2021-04-06 10:17:05	2		3.53992	24	-0.33291	
* 45	2021-04-06 10:19:28	1		7.04374	23	-0.910806	
* 46	2021-04-06 10:20:54	2		6.69965	23	-0.785213	
* 47	2021-04-06 10:22:54	1		1.97962	22	-0.151695	
* 48	2021-04-06 10:24:19	2		2.07141	22	-0.185323	
* 49	2021-04-06 10:27:18	1		15.6764	28	-1.14354	
* 50	2021-04-06 10:28:43	2		19.0145	28	-1.31431	
* 51	2021-04-06 10:30:58	1		0	26	0	
* 52	2021-04-06 10:32:23	2		11.2693	26	-0.703375	
* 53	2021-04-06 10:37:38	1		2.92949	25	-0.269774	
* 54	2021-04-06 10:39:04	2		4.09907	25	-0.390398	
* 55	2021-04-06 10:42:30	1		3.93875	27	-0.249911	
* 56	2021-04-06 10:43:55	2		4.17771	27	-0.245732	
* 57	2021-04-06 10:46:33	1		0	30	0	
* 58	2021-04-06 10:47:59	2		9.83314	30	-0.553887	
* 59	2021-04-06 10:50:15	1		8.45471	29	-0.413526	
* 60	2021-04-06 10:51:41	2		6.93399	29	-0.346858	
* 61	2021-04-06 10:54:58	1		2.34263	31	-0.214937	
* 62	2021-04-06 10:56:24	2		2.55489	31	-0.231825	
* 63	2021-04-06 11:00:15	1		4.12811	32	-0.396869	
* 64	2021-04-06 11:01:40	2		4.1032	32	-0.450483	
* 65	2021-04-06 11:04:41	1		2.46745	36	-0.186485	
* 66	2021-04-06 11:06:06	2		2.94153	36	-0.267161	
* 67	2021-04-06 11:09:00	1		5.85847	35	0.149788	
* 68	2021-04-06 11:10:25	2		7.20471	35	-0.0408513	
* 69	2021-04-06 11:12:50	1		12.9473	34	-0.63672	
* 70	2021-04-06 11:14:16	2		13.0244	34	-0.61455	
* 71	2021-04-06 11:17:12	1		7.80187	33	-0.417577	
* 72	2021-04-06 11:18:38	2		6.83024	33	-0.344082	
* 73	2021-04-06 11:22:55	1		4.70086	37	-0.277053	
* 74	2021-04-06 11:24:19	2		4.93322	37	-0.287442	
* 75	2021-04-06 11:28:29	1		0	39	0	
* 76	2021-04-06 11:29:54	2		12.0613	39	-0.991623	
* 77	2021-04-06 11:33:44	1		0	38	0	
* 78	2021-04-06 11:35:09	2		2.93959	38	-0.279529	
* 79	2021-04-06 11:37:26	1		3.46554	40	-0.243432	
* 80	2021-04-06 11:38:51	2		3.19227	40	-2.81497	
* 81	2021-04-06 11:41:20	1		0	43	0	
* 82	2021-04-06 11:42:45	2		5.71756	43	-0.498254	
* 83	2021-04-06 11:45:07	1		2.41308	42	-0.338808	
