Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2020-12-07 11:04:57	1		1.38025	2	-0.120409	
* 2	2020-12-07 11:06:24	2		1.6929	2	-0.156189	
* 3	2020-12-07 11:09:26	1		1.12574	3	-0.169225	
* 4	2020-12-07 11:10:52	2		0.988318	3	-0.189175	
* 5	2020-12-07 11:13:55	1		1.27599	1	-0.440206	
* 6	2020-12-07 11:15:21	2		1.42946	1	-0.509912	
* 7	2020-12-07 11:17:53	1		2.6186	5	-0.84214	
* 8	2020-12-07 11:19:18	2		0	5	0	
* 9	2020-12-07 11:22:08	1		2.19872	8	-0.905815	
* 10	2020-12-07 11:23:34	2		0	8	0	
* 11	2020-12-07 11:26:03	1		0.94176	7	-0.316679	
* 12	2020-12-07 11:27:30	2		0	7	0	
* 13	2020-12-07 11:29:46	1		1.50306	6	-0.309413	
* 14	2020-12-07 11:31:12	2		1.70735	6	-0.289647	
* 15	2020-12-07 11:33:50	1		0.725588	11	-0.148357	
* 16	2020-12-07 11:35:16	2		0.698289	11	-0.143872	
* 17	2020-12-07 11:38:05	1		1.48808	9	-0.204869	
* 18	2020-12-07 11:39:31	2		1.66928	9	-0.21652	
* 19	2020-12-07 11:41:45	1		2.64476	12	-0.257877	
* 20	2020-12-07 11:43:11	2		1.56341	12	-0.185185	
* 21	2020-12-07 11:45:31	1		2.35744	10	-1.25154	
* 22	2020-12-07 11:46:57	2		1.09107	10	-0.118099	
* 23	2020-12-07 12:15:23	1		3.32279	13	-0.714085	
* 24	2020-12-07 12:16:50	2		2.05051	13	-0.574188	
* 25	2020-12-07 12:20:02	1		4.27146	14	-0.367352	
* 26	2020-12-07 12:21:29	2		4.23729	14	-0.882091	
* 27	2020-12-07 12:24:06	1		0.953001	15	-0.232446	
* 28	2020-12-07 12:25:32	2		1.05416	15	-0.201083	
* 29	2020-12-07 12:28:31	1		1.23846	16	-0.0925136	
* 30	2020-12-07 12:29:58	2		1.35382	16	-0.265461	
* 31	2020-12-07 12:45:51	1		2.53537	17	-0.524347	
* 32	2020-12-07 12:47:17	2		1.95193	17	-0.426041	
* 33	2020-12-07 12:49:44	1		1.38767	18	-1.29392	
* 34	2020-12-07 12:51:11	2		0.925864	18	-0.140155	
* 35	2020-12-07 12:53:36	1		0.54654	19	-0.0739718	
* 36	2020-12-07 12:55:02	2		0.787281	19	-0.098883	
* 37	2020-12-07 12:57:39	1		3.78601	20	-0.21623	
* 38	2020-12-07 12:59:05	2		1.62462	20	-0.16992	
* 39	2020-12-07 13:02:34	1		2.26185	24	-0.199637	
* 40	2020-12-07 13:04:01	2		1.25725	24	-0.124829	
* 41	2020-12-07 13:06:23	1		0	23	0	
* 42	2020-12-07 13:07:49	2		1.35143	23	-0.147783	
* 43	2020-12-07 13:10:19	1		0	21	0	
* 44	2020-12-07 13:11:45	2		1.74005	21	-0.389397	
* 45	2020-12-07 13:14:11	1		1.15553	22	-0.240352	
* 46	2020-12-07 13:15:36	2		1.15552	22	-0.719173	
* 47	2020-12-07 13:18:08	1		2.25637	28	-0.170952	
* 48	2020-12-07 13:19:35	2		1.94924	28	-0.177981	
* 49	2020-12-07 13:22:21	1		0.843161	26	-0.194778	
* 50	2020-12-07 13:23:47	2		1.26097	26	-0.107098	
* 51	2020-12-07 13:26:18	1		1.27885	25	-0.175451	
* 52	2020-12-07 13:27:44	2		1.41752	25	-0.334584	
* 53	2020-12-07 13:30:15	1		1.45557	27	-0.0967217	
* 54	2020-12-07 13:31:41	2		1.09004	27	-0.509216	
* 55	2020-12-07 13:34:41	1		1.09527	30	-0.0638788	
* 56	2020-12-07 13:36:07	2		1.18098	30	-1.58701	
* 57	2020-12-07 13:38:40	1		2.04794	29	-0.233542	
* 58	2020-12-07 13:40:07	2		1.5908	29	-0.168356	
* 59	2020-12-07 13:42:38	1		2.66645	31	-0.131093	
* 60	2020-12-07 13:44:04	2		1.29283	31	-0.148813	
* 61	2020-12-07 13:46:20	1		1.01332	32	-0.0709258	
* 62	2020-12-07 13:47:46	2		0.942816	32	-0.163108	
* 63	2020-12-07 13:50:39	1		0	36	0	
* 64	2020-12-07 13:52:04	2		0.886995	36	-0.0860992	
* 65	2020-12-07 13:54:29	1		2.61942	34	-0.140235	
* 66	2020-12-07 13:55:55	2		1.37505	34	-0.126081	
* 67	2020-12-07 13:58:09	1		1.20179	35	-0.0304709	
* 68	2020-12-07 13:59:36	2		0	35	0	
* 69	2020-12-07 14:02:14	1		0	33	0	
* 70	2020-12-07 14:03:40	2		1.28697	33	-0.0370789	
* 71	2020-12-07 14:06:25	1		1.68281	37	-0.0779306	
* 72	2020-12-07 14:07:52	2		1.29259	37	-0.0507248	
* 73	2020-12-07 14:10:09	1		2.31216	39	-0.0849071	
* 74	2020-12-07 14:11:35	2		1.48773	39	-0.330885	
* 75	2020-12-07 14:14:42	1		2.04191	38	-0.134349	
* 76	2020-12-07 14:16:08	2		1.07957	38	-0.122758	
* 77	2020-12-07 14:18:27	1		1.00128	40	-0.00981235	
* 78	2020-12-07 14:19:53	2		0.740981	40	-0.0654887	
* 79	2020-12-07 14:22:38	1		0.721077	43	-0.323792	
* 80	2020-12-07 14:24:03	2		0.681747	43	-0.0976407	
* 81	2020-12-07 14:26:48	1		0	44	0	
* 82	2020-12-07 14:28:14	2		1.0257	44	-0.0990356	
* 83	2020-12-07 14:30:16	1		1.37531	42	-0.324674	
* 84	2020-12-07 14:31:41	2		1.33204	42	-0.261465	
* 85	2020-12-07 14:34:27	1		3.11597	41	-0.19606	
* 86	2020-12-07 14:35:53	2		1.36729	41	-0.162194	
* 87	2020-12-07 14:38:50	1		1.26446	45	-0.125999	
* 88	2020-12-07 14:40:17	2		1.50376	45	-0.162165	
* 89	2020-12-07 14:42:50	1		0	46	0	
* 90	2020-12-07 14:44:16	2		1.64948	46	-0.18529	
* 91	2020-12-07 14:46:50	1		2.15721	48	-0.264619	
* 92	2020-12-07 14:48:16	2		1.78324	48	-0.254264	
* 93	2020-12-07 14:50:19	1		0.980068	47	-0.133318	
* 94	2020-12-07 14:51:46	2		0.952057	47	-0.161366	
