Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2021-04-30 10:02:39	1		4.27128	4	-9.75719	
* 2	2021-04-30 10:04:04	2		10.9594	4	15.9074	
* 3	2021-04-30 10:06:11	1		5.79552	2	-19.3082	
* 4	2021-04-30 10:07:36	2		2.59855	2	-33.3304	
* 5	2021-04-30 10:10:12	1		72.1658	3	471.564	
* 6	2021-04-30 10:11:38	2		-0.0442252	3	-31.0032	
* 7	2021-04-30 10:13:43	1		-2.34798	1	-21.9929	
* 8	2021-04-30 10:15:08	2		8.50857	1	-1.65878	
* 9	2021-04-30 10:17:47	1		7.079	5	-1.3202	
* 10	2021-04-30 10:19:12	2		19.4472	5	-2.72671	
* 11	2021-04-30 10:23:37	1		7.13604	8	-1.88235	
* 12	2021-04-30 10:25:02	2		9.41696	8	-2.34349	
* 13	2021-04-30 10:27:10	1		9.43725	6	-0.782413	
* 14	2021-04-30 10:28:36	2		14.4486	6	-1.02362	
* 15	2021-04-30 10:30:32	1		3.25694	7	-0.727279	
* 16	2021-04-30 10:31:58	2		5.96761	7	-1.21951	
* 17	2021-04-30 10:37:18	1		4.19881	10	-0.218593	
* 18	2021-04-30 10:38:43	2		6.15924	10	-0.346941	
* 19	2021-04-30 10:41:14	1		6.27205	9	-0.607199	
* 20	2021-04-30 10:42:40	2		8.82536	9	-0.874547	
* 21	2021-04-30 10:44:30	1		3.32357	12	-0.241966	
* 22	2021-04-30 10:45:55	2		3.81976	12	-0.277677	
* 23	2021-04-30 10:48:03	1		3.08161	11	-0.339939	
* 24	2021-04-30 10:49:29	2		3.97371	11	-0.414627	
* 25	2021-04-30 10:51:44	1		0	13	0	
* 26	2021-04-30 10:53:09	2		6.96592	13	-1.1832	
* 27	2021-04-30 10:55:57	1		2.37892	14	-0.204654	
* 28	2021-04-30 10:57:22	2		4.18912	14	-0.379644	
* 29	2021-04-30 10:59:12	1		0	15	0	
* 30	2021-04-30 11:00:37	2		11.006	15	-5.75555	
* 31	2021-04-30 11:03:39	1		3.24217	16	-0.171863	
* 32	2021-04-30 11:05:04	2		3.78467	16	-0.169304	
* 33	2021-04-30 11:15:55	1		6.45879	17	-0.915895	
* 34	2021-04-30 11:17:21	2		8.32403	17	-0.886026	
* 35	2021-04-30 11:19:59	1		0	18	0	
* 36	2021-04-30 11:21:24	2		11.3069	18	-1.15429	
* 37	2021-04-30 11:24:01	1		10.7195	20	-0.537488	
* 38	2021-04-30 11:25:26	2		16.5753	20	-0.746661	
* 39	2021-04-30 11:27:34	1		0	19	0	
* 40	2021-04-30 11:28:59	2		4.62147	19	-0.522698	
* 41	2021-04-30 11:31:27	1		9.96647	21	-1.35896	
