Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2020-10-15 08:57:09	1		4.42753	2	-0.497912	
* 2	2020-10-15 08:58:35	2		4.97949	2	-0.488519	
* 3	2020-10-15 09:01:12	1		3.13268	3	-0.206195	
* 4	2020-10-15 09:02:38	2		3.00795	3	-0.219562	
* 5	2020-10-15 09:05:18	1		3.6809	1	-0.652941	
* 6	2020-10-15 09:06:44	2		3.45297	1	-0.657274	
* 7	2020-10-15 09:09:38	1		3.37425	4	-0.389264	
* 8	2020-10-15 09:11:04	2		3.18391	4	-0.41031	
* 9	2020-10-15 09:14:02	1		3.33263	6	-0.3283	
* 10	2020-10-15 09:15:28	2		3.05274	6	-0.408825	
* 11	2020-10-15 09:18:09	1		4.94445	7	-0.443684	
* 12	2020-10-15 09:19:34	2		3.07597	7	-0.469667	
* 13	2020-10-15 09:22:49	1		7.26152	8	-1.35957	
* 14	2020-10-15 09:24:15	2		5.89629	8	-1.23541	
* 15	2020-10-15 09:26:39	1		5.0149	5	-0.888776	
* 16	2020-10-15 09:28:05	2		4.67205	5	-0.932621	
* 17	2020-10-15 09:30:53	1		1.60185	11	0.0123514	
* 18	2020-10-15 09:32:19	2		1.32181	11	-0.0335258	
* 19	2020-10-15 09:34:29	1		4.48212	9	-0.366544	
* 20	2020-10-15 09:35:55	2		0	9	0	
* 21	2020-10-15 09:38:17	1		2.37527	10	-0.0803637	
* 22	2020-10-15 09:39:43	2		2.39301	10	-0.0889539	
* 23	2020-10-15 09:41:55	1		3.51252	12	-0.0390481	
* 24	2020-10-15 09:43:20	2		3.01114	12	-0.0448733	
* 25	2020-10-15 09:46:21	1		6.76127	13	-0.989973	
* 26	2020-10-15 09:47:46	2		6.43304	13	-0.855176	
* 27	2020-10-15 09:50:15	1		7.80925	14	-0.737819	
* 28	2020-10-15 09:51:41	2		7.517	14	-0.738907	
* 29	2020-10-15 09:53:54	1		3.03472	15	-0.335736	
* 30	2020-10-15 09:55:20	2		2.50363	15	-0.349824	
* 31	2020-10-15 10:02:44	1		2.77944	16	-0.127599	
* 32	2020-10-15 10:04:09	2		2.71603	16	-0.123887	
* 33	2020-10-15 10:08:58	1		4.83046	18	-0.518907	
* 34	2020-10-15 10:10:24	2		4.11595	18	-0.340512	
* 35	2020-10-15 10:12:50	1		5.01526	17	-0.807212	
* 36	2020-10-15 10:14:16	2		4.79941	17	-0.704898	
* 37	2020-10-15 10:17:23	1		4.49664	20	-0.202922	
* 38	2020-10-15 10:18:48	2		4.3688	20	-0.222071	
* 39	2020-10-15 10:20:59	1		4.16204	19	-0.109477	
* 40	2020-10-15 10:22:24	2		2.90995	19	-0.0869833	
* 41	2020-10-15 10:25:50	1		2.70174	24	-0.266329	
* 42	2020-10-15 10:27:15	2		2.60401	24	-0.30444	
* 43	2020-10-15 10:29:42	1		4.67463	21	-0.719333	
* 44	2020-10-15 10:31:08	2		5.47636	21	-0.802873	
* 45	2020-10-15 10:33:58	1		2.95496	23	-0.128761	
* 46	2020-10-15 10:35:23	2		2.75924	23	-0.10615	
* 47	2020-10-15 10:38:05	1		4.0828	22	-0.141972	
* 48	2020-10-15 10:39:30	2		4.2482	22	-0.1587	
* 49	2020-10-15 10:41:54	1		3.84196	28	-0.0315793	
* 50	2020-10-15 10:43:19	2		3.66089	28	97.6291	
* 51	2020-10-15 10:46:14	1		3.4663	25	-0.35182	
* 52	2020-10-15 10:47:40	2		3.77594	25	-0.196813	
* 53	2020-10-15 10:51:11	1		4.17463	26	32.9936	
* 54	2020-10-15 10:52:36	2		3.71332	26	-0.474655	
* 55	2020-10-15 10:55:28	1		2.40244	27	-0.102852	
* 56	2020-10-15 10:56:54	2		3.12479	27	-0.0275073	
* 57	2020-10-15 10:59:36	1		2.97414	30	-0.0438761	
* 58	2020-10-15 11:01:02	2		0	30	0	
* 59	2020-10-15 11:03:21	1		4.27615	29	-0.0914965	
* 60	2020-10-15 11:04:46	2		3.72145	29	-0.15229	
* 61	2020-10-15 11:07:03	1		1.30209	31	-0.0620245	
* 62	2020-10-15 11:08:29	2		1.47343	31	-0.0236119	
* 63	2020-10-15 11:16:02	1		1.98594	36	-0.101933	
* 64	2020-10-15 11:17:28	2		1.94817	36	-0.0737478	
* 65	2020-10-15 11:20:26	1		2.23791	35	-0.107207	
* 66	2020-10-15 11:21:52	2		1.89159	35	-0.0244575	
* 67	2020-10-15 11:24:06	1		3.66564	34	-0.116296	
* 68	2020-10-15 11:25:31	2		3.57488	34	-0.141622	
* 69	2020-10-15 11:28:12	1		4.566	33	-0.137675	
* 70	2020-10-15 11:29:37	2		3.39106	33	-0.273001	
* 71	2020-10-15 11:32:02	1		4.86846	37	-0.265211	
* 72	2020-10-15 11:33:27	2		4.46807	37	-0.252051	
* 73	2020-10-15 11:35:56	1		1.95181	39	-0.123306	
* 74	2020-10-15 11:37:21	2		1.92288	39	-0.305027	
* 75	2020-10-15 11:39:50	1		2.28981	38	-0.116009	
