Item#	Date_IV	Obs#	Port#	Exp_Flux	File Name	Exp_Flux[2]	
* 1	2020-10-08 09:21:17	1		2.87585	4	-0.578826	
* 2	2020-10-08 09:22:21	2		5.50046	4	-0.962368	
* 3	2020-10-08 09:23:57	1		5.55295	2	-0.920797	
* 4	2020-10-08 09:25:22	2		4.59342	2	-0.847129	
* 5	2020-10-08 09:27:05	1		4.13257	3	-9.03083	
* 6	2020-10-08 09:28:30	2		2.99856	3	-0.414539	
* 7	2020-10-08 09:30:05	1		4.96691	1	-0.920498	
* 8	2020-10-08 09:31:30	2		4.0888	1	-0.907914	
* 9	2020-10-08 09:33:12	1		6.16673	5	-1.40505	
* 10	2020-10-08 09:34:38	2		5.98036	5	-1.33331	
* 11	2020-10-08 09:36:21	1		5.22018	6	-0.765388	
* 12	2020-10-08 09:37:48	2		4.20989	6	-0.661658	
* 13	2020-10-08 09:39:28	1		4.45725	7	-0.706198	
* 14	2020-10-08 09:40:54	2		3.20308	7	-0.662227	
* 15	2020-10-08 09:42:31	1		3.59847	8	-1.01179	
* 16	2020-10-08 09:43:57	2		3.39418	8	-1.04625	
* 17	2020-10-08 09:45:43	1		1.46734	11	-0.569072	
* 18	2020-10-08 09:47:10	2		1.84132	11	-0.0854149	
* 19	2020-10-08 09:48:44	1		7.95761	9	-0.771259	
* 20	2020-10-08 09:50:10	2		5.1878	9	-0.876948	
* 21	2020-10-08 09:51:45	1		3.11621	12	-0.128977	
* 22	2020-10-08 09:53:10	2		2.89074	12	-0.324062	
* 23	2020-10-08 09:54:45	1		3.1679	10	-0.199976	
* 24	2020-10-08 09:56:11	2		2.90079	10	-0.167134	
* 25	2020-10-08 09:59:39	1		4.01405	20	-0.211022	
* 26	2020-10-08 10:01:04	2		3.35822	20	-0.292079	
* 27	2020-10-08 10:02:40	1		2.10945	19	-0.0898778	
* 28	2020-10-08 10:04:06	2		2.16432	19	-0.131361	
* 29	2020-10-08 10:05:51	1		4.5224	18	-0.598356	
* 30	2020-10-08 10:07:16	2		4.46647	18	-0.547978	
* 31	2020-10-08 10:08:56	1		6.79545	17	-1.98812	
* 32	2020-10-08 10:10:23	2		6.16247	17	-1.05069	
* 33	2020-10-08 10:12:26	1		2.38403	24	-0.221684	
* 34	2020-10-08 10:13:51	2		2.38875	24	-0.193063	
* 35	2020-10-08 10:15:25	1		4.7503	21	-1.24292	
* 36	2020-10-08 10:16:50	2		4.58181	21	-1.18706	
* 37	2020-10-08 10:18:38	1		2.90868	23	-0.246691	
* 38	2020-10-08 10:20:04	2		3.04335	23	-0.247383	
* 39	2020-10-08 10:21:38	1		7.35405	22	-0.05457	
* 40	2020-10-08 10:23:04	2		6.13734	22	-0.430271	
* 41	2020-10-08 10:24:47	1		4.15557	25	-0.607239	
* 42	2020-10-08 10:26:13	2		4.22952	25	-0.597665	
* 43	2020-10-08 10:27:52	1		3.2884	28	-0.15786	
* 44	2020-10-08 10:29:18	2		0	28	0	
* 45	2020-10-08 10:30:53	1		3.8437	26	-0.228921	
* 46	2020-10-08 10:32:19	2		4.36449	26	-0.241588	
* 47	2020-10-08 10:33:58	1		3.67931	27	-0.118943	
* 48	2020-10-08 10:35:25	2		3.56845	27	-0.101226	
* 49	2020-10-08 10:37:25	1		2.33	36	-0.199125	
* 50	2020-10-08 10:38:52	2		2.12262	36	-0.203503	
* 51	2020-10-08 10:40:32	1		2.79061	35	-0.149528	
* 52	2020-10-08 10:41:57	2		2.92685	35	-0.113429	
* 53	2020-10-08 10:43:31	1		4.28939	34	-0.298894	
* 54	2020-10-08 10:44:57	2		3.74994	34	-0.292958	
* 55	2020-10-08 10:46:36	1		4.23327	33	-0.246434	
* 56	2020-10-08 10:48:02	2		3.77727	33	-0.26308	
* 57	2020-10-08 10:49:48	1		4.5243	37	-0.478332	
* 58	2020-10-08 10:51:14	2		4.91097	37	-0.523132	
* 59	2020-10-08 10:52:47	1		2.49367	39	-0.193482	
* 60	2020-10-08 10:54:12	2		3.41128	39	-0.205829	
* 61	2020-10-08 10:55:56	1		3.62798	38	-0.29695	
* 62	2020-10-08 10:57:21	2		3.06174	38	-0.239466	
* 63	2020-10-08 10:58:59	1		3.37373	40	-0.343948	
* 64	2020-10-08 11:00:24	2		3.08704	40	-0.347761	
* 65	2020-10-08 11:02:32	1		3.25326	45	-0.236593	
* 66	2020-10-08 11:03:57	2		2.91053	45	-0.211022	
* 67	2020-10-08 11:05:38	1		4.16223	46	-0.334457	
* 68	2020-10-08 11:07:04	2		0	46	0	
* 69	2020-10-08 11:09:13	1		2.96272	48	-0.357794	
* 70	2020-10-08 11:10:38	2		3.0552	48	-0.335742	
* 71	2020-10-08 11:12:20	1		2.24988	47	-0.216461	
* 72	2020-10-08 11:13:45	2		1.97709	47	-0.237329	
